start_id,step_id,pose_x,pose_y,selected_candidate_id,selected_x,selected_y,information_gain,score,newly_known_cells,failure,known_free,occupied,unknown,known_ratio
1,0,-4.8,2.8,20,-4.05,1.501,116,113.0,116,,302,43,1272,0.21335807050092764
1,1,-4.05,1.501,18,-4.05,0.001,102,99.0,102,,392,55,1170,0.2764378478664193
1,2,-4.05,0.001,18,-4.05,-1.499,100,97.0,100,,473,74,1070,0.33828076685219544
1,3,-4.05,-1.499,21,-2.9893,-2.5597,42,39.0,42,,508,81,1028,0.3642547928262214
1,4,-2.9893,-2.5597,23,-1.5404,-2.9479,128,125.0,128,,632,85,900,0.44341372912801486
1,5,-1.5404,-2.9479,3,-0.4797,-1.8872,127,124.0,127,,745,99,773,0.5219542362399505
1,6,-0.4797,-1.8872,5,-0.0915,-0.4383,61,58.0,61,,793,112,712,0.559678416821274
1,7,-0.0915,-0.4383,3,0.9692,0.6224,44,41.0,44,,832,117,668,0.5868893011750155
1,8,0.9692,0.6224,6,0.9692,2.1224,117,114.0,117,,932,134,551,0.6592455163883735
1,9,0.9692,2.1224,2,2.2682,2.8724,136,133.0,136,,1065,137,415,0.743351886209029
1,10,2.2682,2.8724,21,3.3289,1.8117,126,123.0,126,,1175,153,289,0.821273964131107
1,11,3.3289,1.8117,20,4.0789,0.5127,72,69.0,72,,1237,163,217,0.8658008658008658
1,12,4.0789,0.5127,19,4.4671,-0.9362,79,76.0,79,,1308,171,138,0.9146567717996289
1,13,4.4671,-0.9362,16,3.7171,-2.2352,75,72.0,75,,1362,192,63,0.961038961038961
1,14,3.7171,-2.2352,12,2.2171,-2.2352,5,2.0,5,,1363,196,58,0.9641311069882499
1,15,2.2171,-2.2352,,,,0,0,0,no_positive_gain_candidate,1363,196,58,0.9641311069882499
