start_id,step_id,candidate_id,x,y,yaw,valid,information_gain,path_cost,score
1,0,0,-3.3,2.8,0.0,True,65,1.5,62.0
1,0,1,-3.3511,3.1882,0.2618,True,59,1.5,56.0
1,0,2,-3.501,3.55,0.5236,True,44,1.5,41.0
1,0,3,-3.7393,3.8607,0.7854,True,30,1.5,27.0
1,0,4,-4.05,4.099,1.0472,False,0,1.5,-9999.0
1,0,5,-4.4118,4.2489,1.309,False,0,1.5,-9999.0
1,0,6,-4.8,4.3,1.5708,False,0,1.5,-9999.0
1,0,7,-5.1882,4.2489,1.8326,False,0,1.5,-9999.0
1,0,8,-5.55,4.099,2.0944,False,0,1.5,-9999.0
1,0,9,-5.8607,3.8607,2.3562,True,0,1.5,-3.0
1,0,10,-6.099,3.55,2.618,False,0,1.5,-9999.0
1,0,11,-6.2489,3.1882,2.8798,False,0,1.5,-9999.0
1,0,12,-6.3,2.8,3.1416,False,0,1.5,-9999.0
1,0,13,-6.2489,2.4118,3.4034,False,0,1.5,-9999.0
1,0,14,-6.099,2.05,3.6652,False,0,1.5,-9999.0
1,0,15,-5.8607,1.7393,3.927,True,32,1.5,29.0
1,0,16,-5.55,1.501,4.1888,True,52,1.5,49.0
1,0,17,-5.1882,1.3511,4.4506,True,76,1.5,73.0
1,0,18,-4.8,1.3,4.7124,True,96,1.5,93.0
1,0,19,-4.4118,1.3511,4.9742,True,114,1.5,111.0
1,0,20,-4.05,1.501,5.236,True,116,1.5,113.0
1,0,21,-3.7393,1.7393,5.4978,True,108,1.5,105.0
1,0,22,-3.501,2.05,5.7596,True,92,1.5,89.0
1,0,23,-3.3511,2.4118,6.0214,True,81,1.5,78.0
1,1,0,-2.55,1.501,0.0,True,19,1.5,16.0
1,1,1,-2.6011,1.8892,0.2618,True,21,1.5,18.0
1,1,2,-2.751,2.251,0.5236,True,30,1.5,27.0
1,1,3,-2.9893,2.5617,0.7854,True,40,1.5,37.0
1,1,4,-3.3,2.8,1.0472,True,32,1.5,29.0
1,1,5,-3.6618,2.9499,1.309,True,25,1.5,22.0
1,1,6,-4.05,3.001,1.5708,True,11,1.5,8.0
1,1,7,-4.4382,2.9499,1.8326,True,4,1.5,1.0
1,1,8,-4.8,2.8,2.0944,True,0,1.5,-3.0
1,1,9,-5.1107,2.5617,2.3562,True,0,1.5,-3.0
1,1,10,-5.349,2.251,2.618,True,0,1.5,-3.0
1,1,11,-5.4989,1.8892,2.8798,True,1,1.5,-2.0
1,1,12,-5.55,1.501,3.1416,True,6,1.5,3.0
1,1,13,-5.4989,1.1128,3.4034,True,14,1.5,11.0
1,1,14,-5.349,0.751,3.6652,True,29,1.5,26.0
1,1,15,-5.1107,0.4403,3.927,True,49,1.5,46.0
1,1,16,-4.8,0.202,4.1888,True,70,1.5,67.0
1,1,17,-4.4382,0.0521,4.4506,True,90,1.5,87.0
1,1,18,-4.05,0.001,4.7124,True,102,1.5,99.0
1,1,19,-3.6618,0.0521,4.9742,True,94,1.5,91.0
1,1,20,-3.3,0.202,5.236,True,79,1.5,76.0
1,1,21,-2.9893,0.4403,5.4978,True,58,1.5,55.0
1,1,22,-2.751,0.751,5.7596,True,33,1.5,30.0
1,1,23,-2.6011,1.1128,6.0214,True,24,1.5,21.0
1,2,0,-2.55,0.001,0.0,True,8,1.5,5.0
1,2,1,-2.6011,0.3892,0.2618,True,5,1.5,2.0
1,2,2,-2.751,0.751,0.5236,True,0,1.5,-3.0
1,2,3,-2.9893,1.0617,0.7854,True,7,1.5,4.0
1,2,4,-3.3,1.3,1.0472,True,6,1.5,3.0
1,2,5,-3.6618,1.4499,1.309,True,4,1.5,1.0
1,2,6,-4.05,1.501,1.5708,True,0,1.5,-3.0
1,2,7,-4.4382,1.4499,1.8326,True,0,1.5,-3.0
1,2,8,-4.8,1.3,2.0944,True,0,1.5,-3.0
1,2,9,-5.1107,1.0617,2.3562,True,0,1.5,-3.0
1,2,10,-5.349,0.751,2.618,True,0,1.5,-3.0
1,2,11,-5.4989,0.3892,2.8798,True,1,1.5,-2.0
1,2,12,-5.55,0.001,3.1416,True,6,1.5,3.0
1,2,13,-5.4989,-0.3872,3.4034,True,14,1.5,11.0
1,2,14,-5.349,-0.749,3.6652,True,29,1.5,26.0
1,2,15,-5.1107,-1.0597,3.927,True,49,1.5,46.0
1,2,16,-4.8,-1.298,4.1888,True,70,1.5,67.0
1,2,17,-4.4382,-1.4479,4.4506,True,90,1.5,87.0
1,2,18,-4.05,-1.499,4.7124,True,100,1.5,97.0
1,2,19,-3.6618,-1.4479,4.9742,True,98,1.5,95.0
1,2,20,-3.3,-1.298,5.236,True,84,1.5,81.0
1,2,21,-2.9893,-1.0597,5.4978,True,63,1.5,60.0
1,2,22,-2.751,-0.749,5.7596,True,36,1.5,33.0
1,2,23,-2.6011,-0.3872,6.0214,True,22,1.5,19.0
1,3,0,-2.55,-1.499,0.0,True,12,1.5,9.0
1,3,1,-2.6011,-1.1108,0.2618,True,9,1.5,6.0
1,3,2,-2.751,-0.749,0.5236,True,0,1.5,-3.0
1,3,3,-2.9893,-0.4383,0.7854,True,4,1.5,1.0
1,3,4,-3.3,-0.2,1.0472,True,0,1.5,-3.0
1,3,5,-3.6618,-0.0501,1.309,True,0,1.5,-3.0
1,3,6,-4.05,0.001,1.5708,True,0,1.5,-3.0
1,3,7,-4.4382,-0.0501,1.8326,True,0,1.5,-3.0
1,3,8,-4.8,-0.2,2.0944,True,0,1.5,-3.0
1,3,9,-5.1107,-0.4383,2.3562,True,0,1.5,-3.0
1,3,10,-5.349,-0.749,2.618,True,0,1.5,-3.0
1,3,11,-5.4989,-1.1108,2.8798,True,1,1.5,-2.0
1,3,12,-5.55,-1.499,3.1416,True,3,1.5,0.0
1,3,13,-5.4989,-1.8872,3.4034,True,3,1.5,0.0
1,3,14,-5.349,-2.249,3.6652,True,3,1.5,0.0
1,3,15,-5.1107,-2.5597,3.927,True,4,1.5,1.0
1,3,16,-4.8,-2.798,4.1888,True,6,1.5,3.0
1,3,17,-4.4382,-2.9479,4.4506,True,9,1.5,6.0
1,3,18,-4.05,-2.999,4.7124,True,13,1.5,10.0
1,3,19,-3.6618,-2.9479,4.9742,True,28,1.5,25.0
1,3,20,-3.3,-2.798,5.236,True,35,1.5,32.0
