start_id,step_id,pose_x,pose_y,selected_candidate_id,selected_x,selected_y,information_gain,score,newly_known_cells,failure,known_free,occupied,unknown,known_ratio
6,0,0.8,2.9,0,2.3,2.9,123,120.0,123,,317,28,1272,0.21335807050092764
6,1,2.3,2.9,21,3.3607,1.8393,132,129.0,132,,426,51,1140,0.2949907235621521
6,2,3.3607,1.8393,19,3.7489,0.3904,77,74.0,77,,489,65,1063,0.34260977118119973
6,3,3.7489,0.3904,20,4.4989,-0.9086,81,78.0,81,,562,73,982,0.39270253555967843
6,4,4.4989,-0.9086,16,3.7489,-2.2076,90,87.0,90,,627,98,892,0.4483611626468769
6,5,3.7489,-2.2076,14,2.4499,-2.9576,63,60.0,63,,688,100,829,0.4873222016079159
6,6,2.4499,-2.9576,10,1.1509,-2.2076,149,146.0,149,,828,109,680,0.5794681508967223
6,7,1.1509,-2.2076,10,-0.1481,-1.4576,88,85.0,88,,897,128,592,0.6338899196042053
6,8,-0.1481,-1.4576,15,-1.2088,-2.5183,37,34.0,37,,927,135,555,0.6567717996289425
6,9,-1.2088,-2.5183,13,-2.6577,-2.9065,144,141.0,144,,1067,139,411,0.7458256029684601
6,10,-2.6577,-2.9065,9,-3.7184,-1.8458,122,119.0,122,,1170,158,289,0.821273964131107
6,11,-3.7184,-1.8458,6,-3.7184,-0.3458,101,98.0,101,,1260,169,188,0.8837353123067409
6,12,-3.7184,-0.3458,6,-3.7184,1.1542,102,99.0,102,,1353,178,86,0.9468150896722325
6,13,-3.7184,1.1542,7,-4.1066,2.6031,30,27.0,30,,1365,196,56,0.9653679653679653
6,14,-4.1066,2.6031,23,-2.6577,2.2149,7,4.0,7,,1365,203,49,0.9696969696969697
6,15,-2.6577,2.2149,3,-1.597,3.2756,12,9.0,12,,1376,204,37,0.9771181199752629
