start_id,step_id,pose_x,pose_y,selected_candidate_id,selected_x,selected_y,information_gain,score,newly_known_cells,failure,known_free,occupied,unknown,known_ratio
3,12,3.9001,-1.6608,13,2.4512,-2.049,16,13.0,16,,1295,182,140,0.9134199134199135
3,13,2.4512,-2.049,16,1.7012,-3.348,23,20.0,23,,1318,182,117,0.9276437847866419
3,14,1.7012,-3.348,7,1.313,-1.8991,44,41.0,44,,1359,185,73,0.9548546691403834
3,15,1.313,-1.8991,7,0.9248,-0.4502,12,9.0,12,,1366,190,61,0.9622758194186766
4,0,-1.2,2.9,13,-2.6489,2.5118,157,154.0,157,,346,25,1246,0.22943722943722944
4,1,-2.6489,2.5118,15,-3.7096,1.4511,126,123.0,126,,448,49,1120,0.30735930735930733
4,2,-3.7096,1.4511,18,-3.7096,-0.0489,102,99.0,102,,538,61,1018,0.37043908472479903
4,3,-3.7096,-0.0489,18,-3.7096,-1.5489,102,99.0,102,,622,79,916,0.43351886209029067
4,4,-3.7096,-1.5489,20,-2.9596,-2.8479,41,38.0,41,,659,83,875,0.4588744588744589
4,5,-2.9596,-2.8479,0,-1.4596,-2.8479,133,130.0,133,,786,89,742,0.5411255411255411
4,6,-1.4596,-2.8479,2,-0.1606,-2.0979,110,107.0,110,,880,105,632,0.6091527520098948
4,7,-0.1606,-2.0979,4,0.5894,-0.7989,47,44.0,47,,914,118,585,0.6382189239332097
4,8,0.5894,-0.7989,19,0.9776,-2.2478,23,20.0,23,,932,123,562,0.6524427952999382
4,9,0.9776,-2.2478,0,2.4776,-2.2478,134,131.0,134,,1057,132,428,0.7353123067408782
4,10,2.4776,-2.2478,1,3.9265,-1.8596,114,111.0,114,,1152,151,314,0.8058132343846629
4,11,3.9265,-1.8596,6,3.9265,-0.3596,116,113.0,116,,1258,161,198,0.8775510204081632
4,12,3.9265,-0.3596,6,3.9265,1.1404,102,99.0,102,,1350,171,96,0.9406307977736549
4,13,3.9265,1.1404,7,3.5383,2.5893,36,33.0,36,,1369,188,60,0.9628942486085343
4,14,3.5383,2.5893,11,2.0894,2.9775,8,5.0,8,,1373,192,52,0.9678416821273964
4,15,2.0894,2.9775,11,0.6405,3.3657,7,4.0,7,,1374,198,45,0.9721706864564007
5,0,0.8,-3.0,8,0.05,-1.701,116,113.0,116,,328,43,1246,0.22943722943722944
5,1,0.05,-1.701,6,0.05,-0.201,52,49.0,52,,368,55,1194,0.26159554730983303
5,2,0.05,-0.201,9,-1.0107,0.8597,57,54.0,57,,421,59,1137,0.29684601113172543
5,3,-1.0107,0.8597,5,-0.6225,2.3086,123,120.0,123,,521,82,1014,0.37291280148423006
5,4,-0.6225,2.3086,11,-2.0714,2.6968,127,124.0,127,,645,85,887,0.4514533085961657
5,5,-2.0714,2.6968,14,-3.3704,1.9468,130,127.0,130,,760,100,757,0.5318491032776747
5,6,-3.3704,1.9468,17,-3.7586,0.4979,101,98.0,101,,853,108,656,0.5943104514533086
5,7,-3.7586,0.4979,18,-3.7586,-1.0021,93,90.0,93,,940,114,563,0.6518243661100804
5,8,-3.7586,-1.0021,17,-4.1468,-2.451,39,36.0,39,,958,135,524,0.6759431045145331
5,9,-4.1468,-2.451,0,-2.6468,-2.451,2,-1.0,2,,958,137,522,0.6771799628942486
5,10,-2.6468,-2.451,,,,0,0,0,no_positive_gain_candidate,958,137,522,0.6771799628942486
6,0,0.8,2.9,0,2.3,2.9,123,120.0,123,,317,28,1272,0.21335807050092764
6,1,2.3,2.9,21,3.3607,1.8393,132,129.0,132,,426,51,1140,0.2949907235621521
6,2,3.3607,1.8393,19,3.7489,0.3904,77,74.0,77,,489,65,1063,0.34260977118119973
6,3,3.7489,0.3904,20,4.4989,-0.9086,81,78.0,81,,562,73,982,0.39270253555967843
6,4,4.4989,-0.9086,16,3.7489,-2.2076,90,87.0,90,,627,98,892,0.4483611626468769
6,5,3.7489,-2.2076,14,2.4499,-2.9576,63,60.0,63,,688,100,829,0.4873222016079159
6,6,2.4499,-2.9576,10,1.1509,-2.2076,149,146.0,149,,828,109,680,0.5794681508967223
