start_id,step_id,candidate_id,x,y,yaw,valid,information_gain,path_cost,score
7,0,0,4.5,-2.7,0.0,True,60,1.5,57.0
7,0,1,4.4489,-2.3118,0.2618,True,75,1.5,72.0
7,0,2,4.299,-1.95,0.5236,True,94,1.5,91.0
7,0,3,4.0607,-1.6393,0.7854,True,100,1.5,97.0
7,0,4,3.75,-1.401,1.0472,False,0,1.5,-9999.0
7,0,5,3.3882,-1.2511,1.309,False,0,1.5,-9999.0
7,0,6,3.0,-1.2,1.5708,False,0,1.5,-9999.0
7,0,7,2.6118,-1.2511,1.8326,True,57,1.5,54.0
7,0,8,2.25,-1.401,2.0944,True,48,1.5,45.0
7,0,9,1.9393,-1.6393,2.3562,False,0,1.5,-9999.0
7,0,10,1.701,-1.95,2.618,False,0,1.5,-9999.0
7,0,11,1.5511,-2.3118,2.8798,False,0,1.5,-9999.0
7,0,12,1.5,-2.7,3.1416,True,145,1.5,142.0
7,0,13,1.5511,-3.0882,3.4034,True,120,1.5,117.0
7,0,14,1.701,-3.45,3.6652,True,98,1.5,95.0
7,0,15,1.9393,-3.7607,3.927,True,69,1.5,66.0
7,0,16,2.25,-3.999,4.1888,False,0,1.5,-9999.0
7,0,17,2.6118,-4.1489,4.4506,False,0,1.5,-9999.0
7,0,18,3.0,-4.2,4.7124,False,0,1.5,-9999.0
7,0,19,3.3882,-4.1489,4.9742,False,0,1.5,-9999.0
7,0,20,3.75,-3.999,5.236,False,0,1.5,-9999.0
7,0,21,4.0607,-3.7607,5.4978,True,18,1.5,15.0
7,0,22,4.299,-3.45,5.7596,True,26,1.5,23.0
7,0,23,4.4489,-3.0882,6.0214,True,41,1.5,38.0
7,1,0,3.0,-2.7,0.0,True,0,1.5,-3.0
7,1,1,2.9489,-2.3118,0.2618,False,0,1.5,-9999.0
7,1,2,2.799,-1.95,0.5236,False,0,1.5,-9999.0
7,1,3,2.5607,-1.6393,0.7854,False,0,1.5,-9999.0
7,1,4,2.25,-1.401,1.0472,False,0,1.5,-9999.0
7,1,5,1.8882,-1.2511,1.309,True,54,1.5,51.0
7,1,6,1.5,-1.2,1.5708,True,77,1.5,74.0
7,1,7,1.1118,-1.2511,1.8326,True,100,1.5,97.0
7,1,8,0.75,-1.401,2.0944,True,120,1.5,117.0
7,1,9,0.4393,-1.6393,2.3562,True,130,1.5,127.0
7,1,10,0.201,-1.95,2.618,True,124,1.5,121.0
7,1,11,0.0511,-2.3118,2.8798,True,106,1.5,103.0
7,1,12,0.0,-2.7,3.1416,True,89,1.5,86.0
7,1,13,0.0511,-3.0882,3.4034,True,68,1.5,65.0
7,1,14,0.201,-3.45,3.6652,True,51,1.5,48.0
7,1,15,0.4393,-3.7607,3.927,True,31,1.5,28.0
7,1,16,0.75,-3.999,4.1888,False,0,1.5,-9999.0
7,1,17,1.1118,-4.1489,4.4506,False,0,1.5,-9999.0
7,1,18,1.5,-4.2,4.7124,False,0,1.5,-9999.0
7,1,19,1.8882,-4.1489,4.9742,False,0,1.5,-9999.0
7,1,20,2.25,-3.999,5.236,False,0,1.5,-9999.0
7,1,21,2.5607,-3.7607,5.4978,True,0,1.5,-3.0
7,1,22,2.799,-3.45,5.7596,True,0,1.5,-3.0
7,1,23,2.9489,-3.0882,6.0214,True,1,1.5,-2.0
7,2,0,1.9393,-1.6393,0.0,True,3,1.5,0.0
7,2,1,1.8882,-1.2511,0.2618,True,9,1.5,6.0
7,2,2,1.7383,-0.8893,0.5236,True,16,1.5,13.0
7,2,3,1.5,-0.5786,0.7854,True,24,1.5,21.0
7,2,4,1.1893,-0.3403,1.0472,True,34,1.5,31.0
7,2,5,0.8275,-0.1904,1.309,True,50,1.5,47.0
7,2,6,0.4393,-0.1393,1.5708,True,54,1.5,51.0
7,2,7,0.0511,-0.1904,1.8326,True,52,1.5,49.0
7,2,8,-0.3107,-0.3403,2.0944,True,51,1.5,48.0
7,2,9,-0.6214,-0.5786,2.3562,True,43,1.5,40.0
7,2,10,-0.8597,-0.8893,2.618,True,37,1.5,34.0
7,2,11,-1.0096,-1.2511,2.8798,True,39,1.5,36.0
7,2,12,-1.0607,-1.6393,3.1416,True,35,1.5,32.0
7,2,13,-1.0096,-2.0275,3.4034,True,37,1.5,34.0
7,2,14,-0.8597,-2.3893,3.6652,True,40,1.5,37.0
7,2,15,-0.6214,-2.7,3.927,True,35,1.5,32.0
7,2,16,-0.3107,-2.9383,4.1888,True,30,1.5,27.0
7,2,17,0.0511,-3.0882,4.4506,True,17,1.5,14.0
7,2,18,0.4393,-3.1393,4.7124,True,11,1.5,8.0
7,2,19,0.8275,-3.0882,4.9742,True,3,1.5,0.0
7,2,20,1.1893,-2.9383,5.236,True,0,1.5,-3.0
7,2,21,1.5,-2.7,5.4978,True,0,1.5,-3.0
7,2,22,1.7383,-2.3893,5.7596,True,0,1.5,-3.0
7,2,23,1.8882,-2.0275,6.0214,True,0,1.5,-3.0
7,3,0,1.9393,-0.1393,0.0,True,46,1.5,43.0
7,3,1,1.8882,0.2489,0.2618,True,20,1.5,17.0
7,3,2,1.7383,0.6107,0.5236,True,31,1.5,28.0
7,3,3,1.5,0.9214,0.7854,True,47,1.5,44.0
7,3,4,1.1893,1.1597,1.0472,True,66,1.5,63.0
7,3,5,0.8275,1.3096,1.309,True,58,1.5,55.0
7,3,6,0.4393,1.3607,1.5708,False,0,1.5,-9999.0
7,3,7,0.0511,1.3096,1.8326,False,0,1.5,-9999.0
7,3,8,-0.3107,1.1597,2.0944,False,0,1.5,-9999.0
7,3,9,-0.6214,0.9214,2.3562,True,11,1.5,8.0
7,3,10,-0.8597,0.6107,2.618,True,47,1.5,44.0
7,3,11,-1.0096,0.2489,2.8798,True,41,1.5,38.0
7,3,12,-1.0607,-0.1393,3.1416,True,25,1.5,22.0
7,3,13,-1.0096,-0.5275,3.4034,True,19,1.5,16.0
7,3,14,-0.8597,-0.8893,3.6652,True,12,1.5,9.0
7,3,15,-0.6214,-1.2,3.927,True,12,1.5,9.0
7,3,16,-0.3107,-1.4383,4.1888,True,11,1.5,8.0
7,3,17,0.0511,-1.5882,4.4506,True,6,1.5,3.0
7,3,18,0.4393,-1.6393,4.7124,True,0,1.5,-3.0
7,3,19,0.8275,-1.5882,4.9742,True,0,1.5,-3.0
7,3,20,1.1893,-1.4383,5.236,True,1,1.5,-2.0
7,3,21,1.5,-1.2,5.4978,True,1,1.5,-2.0
7,3,22,1.7383,-0.8893,5.7596,True,2,1.5,-1.0
7,3,23,1.8882,-0.5275,6.0214,True,4,1.5,1.0
7,4,0,2.6893,1.1597,0.0,True,207,1.5,204.0
7,4,1,2.6382,1.5479,0.2618,False,0,1.5,-9999.0
7,4,2,2.4883,1.9097,0.5236,False,0,1.5,-9999.0
7,4,3,2.25,2.2204,0.7854,False,0,1.5,-9999.0
