start_id,step_id,pose_x,pose_y,selected_candidate_id,selected_x,selected_y,information_gain,score,newly_known_cells,failure,known_free,occupied,unknown,known_ratio
7,0,3.0,-2.7,12,1.5,-2.7,145,142.0,145,,347,26,1244,0.23067408781694496
7,1,1.5,-2.7,9,0.4393,-1.6393,130,127.0,130,,454,49,1114,0.3110698824984539
7,2,0.4393,-1.6393,6,0.4393,-0.1393,54,51.0,54,,495,62,1060,0.34446505875077305
7,3,0.4393,-0.1393,4,1.1893,1.1597,66,63.0,66,,559,64,994,0.3852813852813853
7,4,1.1893,1.1597,0,2.6893,1.1597,207,204.0,207,,762,68,787,0.5132962275819418
7,5,2.6893,1.1597,1,4.1382,1.5479,89,86.0,89,,824,95,698,0.5683364254792826
7,6,4.1382,1.5479,18,4.1382,0.0479,15,12.0,15,,833,101,683,0.577612863327149
7,7,4.1382,0.0479,19,4.5264,-1.401,15,12.0,15,,836,113,668,0.5868893011750155
7,8,4.5264,-1.401,19,4.9146,-2.8499,4,1.0,4,,836,117,664,0.5893630179344465
7,9,4.9146,-2.8499,,,,0,0,0,no_positive_gain_candidate,836,117,664,0.5893630179344465
